iter	Passed	Remaining
0	144	144803
1	146	73334
2	148	49319
3	149	37229
4	150	29973
5	151	25104
6	152	21606
7	153	19015
8	154	16965
9	154	15316
10	155	13969
11	155	12840
12	156	11896
13	157	11078
14	157	10367
15	158	9750
16	159	9209
17	159	8722
18	160	8285
19	161	7897
20	161	7544
21	162	7222
22	163	6931
23	163	6661
24	164	6413
25	165	6189
26	165	5977
27	166	5795
28	167	5621
29	168	5454
30	169	5293
31	170	5144
32	170	5002
33	171	4867
34	172	4742
35	172	4624
36	173	4508
37	173	4399
38	174	4298
39	175	4201
40	175	4108
41	176	4019
42	176	3937
43	177	3858
44	178	3782
45	178	3711
46	179	3640
47	180	3578
48	181	3516
49	181	3457
50	182	3398
51	183	3342
52	183	3287
53	184	3236
54	185	3184
55	186	3135
56	186	3088
57	187	3042
58	187	2996
59	188	2952
60	189	2909
61	189	2869
62	190	2829
63	190	2792
64	191	2755
65	192	2721
66	192	2686
67	193	2653
68	194	2624
69	195	2592
70	195	2561
71	196	2531
72	197	2502
73	197	2473
74	198	2444
75	198	2418
76	199	2392
77	200	2365
78	200	2340
79	201	2315
80	202	2291
81	202	2269
82	203	2243
83	203	2220
84	204	2200
85	205	2179
86	205	2158
87	206	2137
88	206	2118
89	207	2098
90	208	2079
91	209	2062
92	210	2049
93	210	2033
94	211	2015
95	212	1998
96	212	1982
97	213	1966
98	214	1950
99	214	1933
100	215	1917
101	216	1902
102	216	1887
103	217	1872
104	218	1859
105	218	1844
106	219	1830
107	220	1817
108	220	1804
109	221	1791
110	222	1778
111	222	1765
112	223	1752
113	224	1744
114	225	1733
115	225	1721
116	226	1708
117	226	1696
118	227	1685
119	228	1674
120	229	1664
121	229	1651
122	230	1641
123	230	1631
124	231	1621
125	232	1611
126	232	1600
127	233	1590
128	234	1580
129	234	1570
130	235	1561
131	235	1551
132	236	1542
133	237	1532
134	237	1523
135	238	1514
136	239	1507
137	239	1498
138	240	1490
139	241	1484
140	242	1476
141	242	1466
142	243	1458
143	244	1450
144	244	1442
145	245	1434
146	245	1426
147	246	1418
148	247	1411
149	247	1403
150	248	1396
151	248	1388
152	249	1381
153	250	1374
154	250	1367
155	251	1359
156	251	1352
157	252	1345
158	253	1339
159	253	1333
160	254	1325
161	255	1320
162	255	1314
163	256	1307
164	257	1301
165	257	1295
166	258	1288
167	258	1282
168	259	1276
169	260	1270
170	260	1264
171	261	1259
172	262	1253
173	262	1247
174	263	1241
175	264	1236
176	264	1231
177	265	1226
178	266	1220
179	266	1215
180	267	1210
181	267	1204
182	269	1201
183	270	1197
184	270	1192
185	271	1187
186	271	1182
187	272	1177
188	273	1171
189	273	1166
190	274	1161
191	274	1156
192	275	1152
193	276	1147
194	276	1142
195	277	1137
196	278	1133
197	278	1128
198	279	1123
199	279	1119
200	280	1115
201	281	1110
202	281	1106
203	282	1103
204	284	1102
205	284	1098
206	285	1094
207	286	1090
208	286	1085
209	287	1081
210	288	1077
211	288	1073
212	289	1069
213	290	1065
214	290	1061
215	291	1057
216	292	1053
217	292	1049
218	293	1045
219	293	1041
220	294	1037
221	295	1034
222	295	1030
223	296	1026
224	296	1022
225	297	1019
226	298	1016
227	299	1014
228	300	1010
229	300	1007
230	301	1003
231	302	999
232	302	996
233	303	992
234	303	989
235	304	985
236	305	982
237	305	978
238	306	975
239	306	971
240	307	968
241	308	964
242	308	961
243	309	958
244	309	955
245	310	951
246	311	948
247	311	945
248	312	942
249	313	939
250	313	936
251	314	933
252	315	930
253	316	928
254	316	925
255	317	922
256	317	919
257	318	916
258	319	913
259	319	910
260	320	907
261	321	904
262	321	901
263	322	898
264	323	895
265	323	892
266	324	890
267	324	887
268	325	884
269	326	881
270	326	879
271	327	876
272	328	873
273	328	871
274	329	868
275	330	866
276	330	863
277	331	860
278	332	858
279	332	855
280	333	853
281	334	850
282	334	848
283	335	845
284	336	842
285	336	840
286	337	837
287	337	835
288	338	833
289	339	831
290	340	828
291	340	825
292	341	823
293	341	820
294	342	818
295	343	816
296	344	815
297	345	813
298	345	810
299	346	808
300	347	805
301	347	803
302	348	801
303	348	798
304	349	796
305	350	794
306	350	792
307	351	789
308	352	787
309	352	784
310	353	782
311	354	780
312	354	778
313	355	776
314	355	774
315	356	771
316	357	769
317	357	767
318	359	766
319	359	764
320	360	762
321	360	759
322	361	757
323	362	755
324	362	753
325	363	751
326	364	749
327	364	747
328	365	744
329	365	742
330	366	740
331	367	738
332	367	737
333	368	735
334	369	733
335	370	731
336	370	729
337	371	727
338	372	726
339	373	725
340	374	723
341	374	721
342	375	719
343	376	717
344	377	715
345	377	714
346	378	712
347	379	710
348	379	708
349	380	706
350	380	704
351	381	702
352	381	699
353	382	697
354	383	695
355	383	694
356	384	692
357	384	690
358	385	688
359	386	686
360	386	684
361	387	683
362	388	681
363	389	680
364	390	678
365	390	677
366	391	675
367	392	673
368	392	671
369	393	670
370	394	668
371	394	666
372	395	664
373	395	662
374	396	660
375	397	658
376	397	657
377	398	655
378	398	653
379	399	651
380	400	649
381	400	648
382	401	646
383	401	644
384	402	643
385	403	642
386	404	640
387	404	638
388	405	636
389	406	635
390	406	633
391	407	631
392	407	630
393	408	628
394	409	626
395	409	625
396	410	623
397	411	621
398	411	620
399	412	618
400	412	616
401	413	615
402	414	613
403	414	612
404	415	610
405	416	608
406	416	606
407	417	605
408	418	604
409	418	602
410	419	601
411	420	599
412	420	597
413	421	596
414	421	594
415	422	593
416	423	591
417	423	589
418	424	588
419	424	586
420	425	585
421	426	583
422	426	582
423	427	580
424	427	579
425	428	577
426	429	575
427	429	574
428	430	572
429	430	571
430	431	569
431	432	568
432	433	567
433	433	565
434	434	564
435	435	562
436	435	561
437	436	560
438	437	558
439	437	557
440	438	555
441	438	554
442	439	552
443	440	551
444	440	549
445	441	548
446	442	546
447	442	545
448	443	544
449	444	542
450	444	541
451	445	539
452	446	538
453	447	537
454	448	536
455	449	535
456	449	534
457	450	533
458	451	531
459	451	530
460	452	529
461	453	527
462	453	526
463	454	524
464	455	523
465	455	522
466	456	520
467	456	519
468	457	517
469	458	516
470	458	515
471	459	513
472	459	512
473	460	511
474	461	509
475	462	508
476	464	508
477	464	507
478	465	506
479	466	505
480	467	503
481	467	502
482	468	501
483	468	499
484	469	498
485	469	497
486	470	495
487	471	494
488	471	493
489	472	491
490	473	490
491	473	489
492	474	487
493	474	486
494	475	485
495	476	483
496	476	482
497	477	481
498	478	480
499	479	479
500	480	478
501	480	476
502	481	475
503	481	474
504	482	472
505	483	471
506	483	470
507	484	468
508	484	467
509	485	466
510	485	465
511	486	463
512	487	462
513	487	461
514	488	459
515	488	458
516	489	457
517	490	456
518	490	454
519	491	453
520	492	452
521	493	451
522	493	450
523	494	449
524	495	447
525	495	446
526	496	445
527	497	444
528	497	443
529	498	441
530	498	440
531	499	439
532	500	438
533	500	437
534	501	435
535	502	434
536	502	433
537	503	432
538	503	430
539	504	429
540	504	428
541	505	427
542	506	426
543	507	425
544	508	424
545	508	423
546	509	421
547	510	420
548	510	419
549	511	418
550	511	417
551	512	416
552	513	414
553	513	413
554	514	412
555	514	411
556	515	410
557	516	408
558	516	407
559	517	406
560	517	405
561	518	404
562	519	402
563	519	401
564	520	400
565	521	399
566	521	398
567	522	397
568	523	396
569	524	395
570	524	394
571	525	393
572	526	392
573	526	391
574	527	389
575	528	388
576	528	387
577	529	386
578	529	385
579	530	383
580	530	382
581	531	381
582	531	380
583	532	379
584	533	378
585	534	377
586	534	376
587	535	375
588	535	374
589	536	372
590	537	372
591	538	371
592	539	370
593	539	368
594	540	367
595	540	366
596	541	365
597	542	364
598	542	363
599	543	362
600	543	361
601	544	359
602	544	358
603	545	357
604	546	356
605	546	355
606	547	354
607	547	353
608	548	352
609	548	350
610	549	349
611	550	348
612	550	347
